UnixTime,Interpolated Gaze X,Interpolated Gaze Y,Interpolated Distance,Gaze Velocity,Gaze Acceleration,Fixation Index,Fixation X,Fixation Y,Fixation Start,Fixation End,Fixation Duration,Fixation Dispersion
1680003662.71482,805.833333333333,466.5,582.345520019531,1.75945773629348,-1004.35863443362,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.72325,807.5,466.166666666667,582.409729003906,12.620088234434,1288.37686965051,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.73158,815,474.333333333333,582.340423583984,13.9536446068661,160.144631140376,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.73978,814.166666666667,477.5,582.339538574219,2.76318621536305,-1363.47622136025,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.74812,813.333333333334,476.333333333333,582.349914550781,2.04600985955032,-85.9975245293567,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.75645,812.5,476.5,582.240631103516,3.51121186352194,175.962194836524,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.76478,811.333333333333,473.666666666667,582.199554443359,0.391852152255966,-374.31567903798,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.77312,812.666666666667,476.833333333333,582.174194335938,4.41654517906827,482.698644361289,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.78146,815.5,474.166666666667,582.048095703125,7.29060512251772,344.764457068612,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.78988,819.5,478.166666666667,582.014923095703,5.05572529414765,-265.233005584944,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.79816,819.5,471.5,581.997253417969,3.35993837571493,-204.829921299278,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.80665,821,475.333333333333,581.893249511719,8.87501953995178,649.6049616893,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.81483,823.333333333333,479,581.875518798828,10.8034073998957,235.709658721476,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.8232,821.333333333334,485.5,581.874664306641,14.005905104194,382.735103413585,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.83148,820,491.833333333333,581.763549804688,2.44817733268725,-1396.7549000561,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.83981,819.333333333333,484.333333333333,581.732971191406,4.79584810511612,281.603345699989,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.84824,824.5,491,578.9794921875,3.29066444567111,-178.536024227016,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.85645,821.833333333333,482.5,581.644439697266,11.2069642378005,964.449725532103,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.86481,814,492.166666666667,581.629364013672,17.8576929333814,795.893959712624,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.87316,809.666666666667,494.333333333333,581.630126953125,6.64399651931294,-1342.31462940856,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.88144,811.666666666667,498,581.523620605469,8.78304724848618,258.489308920607,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.88984,817.833333333334,492.666666666667,581.506744384766,13.5895032294929,572.033702393929,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.89822,817.333333333333,486.333333333333,581.504364013672,9.20264928603642,-523.172525485574,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.90644,813.166666666667,485.333333333333,581.421875,16.6193710898197,902.530124463291,1543,815.259259259259,480.172839506173,517685.62495,517910.62165,224.996700000018,0.17905791844434
1680003662.9148,801.666666666667,485.666666666667,581.451782226563,55.3606328972795,4633.5125530794,,,,,,,
1680003662.9231,760.666666666667,487.166666666667,581.543548583984,119.145427414599,7684.35950620316,,,,,,,
1680003662.93143,688.666666666667,487,581.546447753906,148.439802643239,3519.18205095117,,,,,,,
1680003662.93978,619.166666666667,482.666666666667,581.645690917969,114.664200013396,-4045.7091249913,,,,,,,
1680003662.94811,579.166666666667,478.833333333333,581.778442382813,47.2190212372873,-8089.95895070719,,,,,,,
1680003662.95643,575.5,470.833333333333,581.812133789063,4.41703651799433,-5147.81044416798,1544,571.828595392549,473.421815894726,517952.2697,518227.30145,275.031750000024,0.284641809571508
1680003662.96477,577.833333333333,474.833333333333,581.934173583984,9.36416355984458,592.995833656819,1544,571.828595392549,473.421815894726,517952.2697,518227.30145,275.031750000024,0.284641809571508
1680003662.9731,584.333333333333,469.166666666667,579.003967285156,7.88246451965892,-177.885712250073,1544,571.828595392549,473.421815894726,517952.2697,518227.30145,275.031750000024,0.284641809571508
